C:\Users\hkhat\Documents\Harsh\IMG\center_2024_01_18_17_26_41_745.jpg,C:\Users\hkhat\Documents\Harsh\IMG\left_2024_01_18_17_26_41_745.jpg,C:\Users\hkhat\Documents\Harsh\IMG\right_2024_01_18_17_26_41_745.jpg,0,0,0,9.62E-06
C:\Users\hkhat\Documents\Harsh\IMG\center_2024_01_18_17_26_41_812.jpg,C:\Users\hkhat\Documents\Harsh\IMG\left_2024_01_18_17_26_41_812.jpg,C:\Users\hkhat\Documents\Harsh\IMG\right_2024_01_18_17_26_41_812.jpg,0,0,0,8.05E-06
C:\Users\hkhat\Documents\Harsh\IMG\center_2024_01_18_17_26_41_881.jpg,C:\Users\hkhat\Documents\Harsh\IMG\left_2024_01_18_17_26_41_881.jpg,C:\Users\hkhat\Documents\Harsh\IMG\right_2024_01_18_17_26_41_881.jpg,0,0,0,6.46E-06
C:\Users\hkhat\Documents\Harsh\IMG\center_2024_01_18_17_26_41_948.jpg,C:\Users\hkhat\Documents\Harsh\IMG\left_2024_01_18_17_26_41_948.jpg,C:\Users\hkhat\Documents\Harsh\IMG\right_2024_01_18_17_26_41_948.jpg,0,0,0,5.13E-06
C:\Users\hkhat\Documents\Harsh\IMG\center_2024_01_18_17_26_42_016.jpg,C:\Users\hkhat\Documents\Harsh\IMG\left_2024_01_18_17_26_42_016.jpg,C:\Users\hkhat\Documents\Harsh\IMG\right_2024_01_18_17_26_42_016.jpg,0,0,0,1.84E-05
C:\Users\hkhat\Documents\Harsh\IMG\center_2024_01_18_17_26_42_083.jpg,C:\Users\hkhat\Documents\Harsh\IMG\left_2024_01_18_17_26_42_083.jpg,C:\Users\hkhat\Documents\Harsh\IMG\right_2024_01_18_17_26_42_083.jpg,0,0,0,7.86E-07
C:\Users\hkhat\Documents\Harsh\IMG\center_2024_01_18_17_26_42_152.jpg,C:\Users\hkhat\Documents\Harsh\IMG\left_2024_01_18_17_26_42_152.jpg,C:\Users\hkhat\Documents\Harsh\IMG\right_2024_01_18_17_26_42_152.jpg,0,0,0,5.42E-06
C:\Users\hkhat\Documents\Harsh\IMG\center_2024_01_18_17_26_42_219.jpg,C:\Users\hkhat\Documents\Harsh\IMG\left_2024_01_18_17_26_42_219.jpg,C:\Users\hkhat\Documents\Harsh\IMG\right_2024_01_18_17_26_42_219.jpg,0,0,0,2.46E-05
C:\Users\hkhat\Documents\Harsh\IMG\center_2024_01_18_17_26_42_287.jpg,C:\Users\hkhat\Documents\Harsh\IMG\left_2024_01_18_17_26_42_287.jpg,C:\Users\hkhat\Documents\Harsh\IMG\right_2024_01_18_17_26_42_287.jpg,0,0,0,2.99E-06
C:\Users\hkhat\Documents\Harsh\IMG\center_2024_01_18_17_26_42_358.jpg,C:\Users\hkhat\Documents\Harsh\IMG\left_2024_01_18_17_26_42_358.jpg,C:\Users\hkhat\Documents\Harsh\IMG\right_2024_01_18_17_26_42_358.jpg,0,0,0,2.21E-06
